travelling and holidays,путешествия и отпуск
accommodation,"жильё, размещение"
book (v),бронировать
buffet,буфет
cabin,каюта
camp-site,место для палаточного лагеря
cancelled,отменён
check in,"регистрироваться на рейс, в гостиницу"
competition,соревнование
covered,"пройденный путь, покрытое расстояние"
crew,экипаж
crossing,"переход, пересечение"
cruise,круиз
customs officer,офицер таможни
deck,палуба
declare,"заявлять, декларировать"
delayed,задержанный
departure lounge,зал вылета
destination,место/пункт назначения
diverted,"перенаправлен, поменял курс"
double (room),номер на двоих
expedition,экспедиция
flight,рейс
fortnight,две недели
free,бесплатный
goods,товары
grounded,"заземлённый, отстранённый от полётов"
guest-house,гостевой дом
harbour,гавань
hostel,"общежитие, дешёвое жильё"
in advance,заранее
itinerary,план/маршрут
label,"бирка, ярлык"
landed,приземлившийся
life belt,спасательный жилет
look out (over),"выходить на, иметь вид (окна)"
luggage,багаж
pack,упаковать
package tour,турпутёвка
pill,таблетка
platform,платформа
plod,"брести, тащиться"
porter,"портье, носильщик"
poster,плакат
quay,причал
reach,достигать места
relax,расслабляться
return (ticket),билет в оба конца
runway,взлётная полоса
seasick,морская болезнь
seat belt,ремень безопасности
single (ticket),билет в 1 конец
take off,взлетать
tent,палатка
tour,тур
unpack,распаковать
vacancy,свободный номер
voyage,морское путешествие
weekend,выходной
