sport and leisure,спорт и досуг
ace,туз
agree,соглашаться
arranged,"договорённый, организованный"
audience,"зрители (театра, концерта)"
beat,"побить, победить"
belief,вера
billiards,бильярд
board,доска
champion,чемпион
club,клюшка для гольфа
collection,коллекция
competitor,участник соревнования
costume,костюм
crossword,кроссворд
defeat,поражение
dismount,"спускаться, спешиваться"
dive,нырять
draughts,шашки
draw,ничья
embroidery,вышивка
equal,равный
expect,ожидать
fit,"подтянутый, в хорошей физ. форме"
float,плыть на поверхности
free1,"бесплатный, свободный"
gambling,азартные игры
glove,перчатка
glue,клеить
ground,земля
handlebars,руль велосипеда
hiking,поход
imagine,"представлять, воображать"
keep fit,поддерживать форму
medal,медаль
model-making,моделирование
needle,игла
net,сетка
nil,ноль
opponent,противник
outdoors,уличный
overtake,обогнать
pastime,время препровождения
performance,представление
pitch,футбольное поле
pour,лить
prevent,предотвращать
prize,профессионально
professionally,"удар, ударить"
punch,гонка
race,приз
racket,ракетка
referee,"арбитр, судья"
result,результат
reward,вознаграждение
rival,соперник
rod,удочка
roll,"катить, вращать"
rope,"канат, веревка"
saddle,седло
score,счет
sink,тонуть
skate,кататься на коньках
skid,заносить на льду
skill,"навык, умение"
slide,скользить
slip,поскользнуться
spectator,зритель спортивного события
succeed,преуспевать
spectator,болельщик
take up,"заняться чем-то новым, начать"
thread,нитка
track,"беговая дорожка, трек"
viewer,телезритель
whistle,свисток
